Nombre Municipio o Total Provincial y/o CC.AA.;Código INE;Población  2012;Población  2011;Población  2010;Población  2009;Población  2008;Población  2007;Población  2006;Población  2005;Población varones;Población mujeres;Población españoles;Población extranjeros;Variación población 07-12 (Absoluta);Variación población españoles 07-12 (absoluta);Variación población extranjera 07-12 (absoluta);Variación población 07-12 (%);Ritmo de crecimiento medio anual de la población 07-12;Extensión (km2);Paro registrado en % s/población potencialmente activa 2012;% Paro de varones;% Paro de mujeres;% Paro de 16 a 24 años;% Paro de 25 a 49 años;% Paro de 50 a 64 años;Cuota de mercado  2012 ;Teléfonos  fijos 2012;Variación teléfonos fijos 07-12 (%);Líneas de banda ancha  2012;Vehículos de motor  2012;Automóviles  2012;Camiones y furgonetas  2012;Otros vehículos de motor 2012;Motocicletas;Autobuses;Tractores  industriales;Resto vehículos de motor;Variación total vehículos de motor 07-12 (%);Variación automóviles 07-12 (%);Variación camiones y furgonetas 07-12 (%);Variación otros vehículos de motor 07-12 (%);Oficinas de entidades de depósito  2013;Variación oficinas entidades de depósito 08-13 (Absoluta);Actividades industriales (industria y construcción);Actividades industriales: industria;Energía y agua;"Extracción y transf. min.energ y deriv.; ind.quím";"Industrias transf. de metales; mec. precisión";Industrias manufactureras;Actividades industriales: construcción;Variación actividades industriales 07-12 (%);Actividades comerciales mayoristas;"Materias primas agrarias; alim., bebidas y tabaco";Textiles, confección, calzado y artículos de cuero;"Productos farmac; perfum. y mant. hogar";Comercio al por mayor de art. consumo duradero;Comercio al por mayor interindustrial;Otro comercio al por mayor interindustrial;Otro comercio al por mayor no especificado;Variación actividades comerciales mayoristas 07-12 (%);Actividades comerciales minoristas  2012;Act. com. alimentación;Act. com. tradicional;Act. com. supermercados;Act. com. total no alimentación;Act. com vestido y calzado;Act. com. hogar;Act. com. resto no alimentación;Act. com. c. mixto y otros;Act. com. grandes almacenes;Act. com. hipermercados;Act. com. almacenes populares;Act. com. ambulante y mercadillos;Act. com otro comercio;Variación actividades comerciales minoristas 07-12 (%);Superficie-m2 actividades comerciales minoristas;Superficie-m2 alimentación;Superficie-m2 com. tradicional alim.;Superficie-m2 supermercados;Superficie-m2 total no alimentación;Superficie-m2 vestido y calzado;Superficie-m2 hogar;Superficie-m2 resto no alimentación;Superficie-m2 c. mixto y otros;Superficie-m2 grandes almacenes;Superficie-m2 hipermercados;Superficie-m2 almacenes populares;Superficie-m2 otro comercio;Centros comerciales;Superficie-m2 Centros comerciales  2012;Actividades de restauración y bares;Variación actividades de restauración y bares 07-12 (%);Índice industrial;Índice comercial;Índice comercial mayorista;Índice comercial minorista;Índice de restauración y bares;Índice turístico;Índice turístico 2006;Índice actividad económica;Índice actividad económica 2006
Albocàsser;12003;1.422;1.443;1.439;1.447;1.446;1.381;1.377;1.395;705;717;1.198;224;41;-5;46;3,0;0,6;82;9,7;10,0;8,7;9,0;11,6;6,0;4;593;12,1;202;1.152;596;385;162;38;0;12;121;9,8;7,8;10,0;17,1;3;0;35;13;0;3;5;5;22;5,6;6;5;0;0;0;0;1;0;-14,3;34;15;15;0;17;1;7;9;2;0;0;0;0;2;-20,9;2.412;818;818;0;1.463;78;925;460;131;0;0;0;131;0;n.d.;7;-41,7;1;2;2;2;2;4;21;2;3
Albolote;18003;18.088;17.892;17.637;17.089;16.879;16.450;15.978;15.563;9.084;9.004;17.308;780;1.638;1.381;257;10,0;1,9;79;16,2;16,2;16,4;11,8;18,1;14,7;39;7.867;20,9;4.956;13.949;8.825;2.101;3.001;1.584;40;72;1.327;9,5;14,0;-7,0;10,7;17;-4;273;148;6;24;41;77;125;-20,7;159;45;7;10;39;8;42;8;-23,5;268;44;37;7;199;23;44;132;25;0;0;2;8;15;-41,0;60.989;8.665;1.972;6.693;47.052;1.081;11.868;34.103;5.272;0;0;3.683;1.589;0;n.d.;76;-23,1;18;57;99;24;20;18;24;25;30
Alborache;46012;1.268;1.263;1.226;1.209;1.107;1.038;1.003;989;659;609;1.145;123;230;157;73;22,2;4,1;27;14,9;14,4;15,0;9,8;16,4;13,8;3;416;-7,0;220;943;562;180;195;73;1;3;124;18,3;21,9;15,4;11,7;1;0;36;25;3;5;7;10;11;-7,3;3;1;0;0;0;1;1;0;0,0;12;7;6;1;4;0;1;3;1;0;0;0;0;1;-52,4;1.778;1.296;197;1.099;478;0;150;328;4;0;0;0;4;0;n.d.;4;-20,0;2;1;1;1;1;2;2;1;1
Alboraya;46013;23.228;22.563;22.409;22.405;22.174;21.582;21.263;20.514;11.552;11.676;20.692;2.536;1.646;1.065;581;7,6;1,5;8;11,7;10,9;13,1;6,8;12,6;11,9;46;9.966;13,7;6.181;15.188;10.233;1.886;3.040;1.894;23;44;1.108;8,5;9,3;-6,8;17,5;16;-4;325;218;8;14;74;122;107;-13,4;96;30;4;7;17;6;25;7;-23,9;277;86;81;5;174;19;52;103;17;0;2;1;1;13;-25,8;60.949;9.858;812;9.046;29.844;1.072;11.826;16.946;21.247;0;19.742;50;1.455;1;18.800;96;-22,1;19;54;61;48;28;24;32;28;36
Albox;04006;10.821;11.091;11.042;11.178;11.427;11.166;11.000;11.271;5.489;5.332;8.080;2.741;-345;-500;155;-3,1;-0,6;168;13,1;13,3;11,7;9,2;15,7;10,5;26;3.685;9,0;2.283;10.186;6.071;2.340;1.799;605;14;337;819;4,0;5,4;-0,6;5,9;10;-3;169;59;1;12;15;31;110;-18,7;51;23;2;5;4;1;15;1;-28,0;206;38;32;6;148;22;45;81;20;0;0;1;7;12;-30,8;19.927;5.592;542;5.050;13.808;1.095;4.845;7.868;527;0;0;200;327;0;n.d.;44;-30,9;14;21;26;17;13;1;1;19;21
Albudeite;30004;1.404;1.447;1.350;1.369;1.381;1.413;1.402;1.403;715;689;1.383;21;-9;-3;-6;-0,6;-0,1;17;21,9;22,5;19,7;25,7;22,2;18,0;3;150;-34,6;37;1.067;589;173;301;83;0;0;222;13,3;12,8;9,5;16,4;1;-1;13;6;1;1;1;3;7;18,2;1;1;0;0;0;0;0;0;0,0;13;8;8;0;2;0;1;1;3;0;0;0;0;3;-46,3;1.016;648;648;0;169;0;109;60;199;0;0;0;199;0;n.d.;5;-44,4;1;0;0;0;1;0;0;0;0
Albuixech;46014;3.958;3.998;3.960;3.880;3.793;3.646;3.529;3.478;1.946;2.012;3.666;292;312;306;6;8,6;1,7;4;14,8;14,5;14,6;8,1;16,0;15,4;8;1.597;31,3;875;3.441;1.925;572;958;372;1;318;253;8,8;14,9;-7,6;8,6;3;0;73;41;3;4;16;18;32;-8,0;25;7;3;1;4;2;6;2;4,3;31;13;12;1;14;1;1;12;4;0;0;0;0;4;-45,6;2.174;1.085;715;370;946;50;65;831;143;0;0;0;143;0;n.d.;10;-52,4;29;9;16;3;2;0;0;13;12
Albuñol;18006;6.587;6.686;6.704;6.704;6.459;6.190;6.270;6.215;3.449;3.138;5.007;1.580;397;-269;666;6,4;1,3;63;15,4;17,6;12,4;10,7;18,7;11,0;14;1.318;-7,0;613;4.474;2.479;1.301;681;282;0;15;397;9,6;10,9;2,8;19,4;6;0;54;20;1;2;4;13;34;-12,1;19;18;0;0;0;0;1;0;-16,7;79;25;16;9;46;7;13;26;8;0;0;0;1;7;-28,9;4.958;1.104;435;669;3.238;172;891;2.175;616;0;0;0;616;0;n.d.;22;-33,3;2;6;7;6;7;1;2;3;4
Alcalá de los Gazules;11001;5.500;5.549;5.592;5.619;5.660;5.673;5.650;5.633;2.818;2.682;5.412;88;-173;-204;31;-3,0;-0,6;480;25,3;20,9;29,9;16,8;30,7;19,6;11;1.171;-6,5;535;3.756;2.296;649;809;182;2;2;625;13,3;17,2;5,0;9,9;5;0;37;18;3;2;3;10;19;-25,0;6;5;0;0;1;0;0;0;0,0;61;22;20;2;29;2;7;20;10;0;0;0;3;7;-43,9;3.174;1.000;400;600;1.947;21;339;1.587;227;0;0;0;227;0;n.d.;30;-26,2;14;3;2;4;6;6;12;7;3
Alcalà de Xivert;12004;8.218;8.175;7.860;7.926;7.884;7.358;7.074;6.752;4.237;3.981;5.050;3.168;860;-49;909;11,7;2,2;168;12,4;14,1;10,3;6,8;14,7;10,5;20;3.351;-12,7;1.368;5.989;3.618;1.389;983;347;0;34;601;4,3;5,1;1,2;6,4;11;1;129;31;1;6;5;19;98;-26,8;21;14;1;0;2;1;3;0;-25,8;197;81;70;11;93;8;33;52;23;0;0;1;6;16;-41,7;21.917;7.493;853;6.640;11.864;1.048;3.966;6.850;2.560;0;0;1.120;1.440;0;n.d.;86;-29,8;5;13;7;18;21;86;88;11;15
