Nombre Municipio o Total Provincial y/o CC.AA.;Código INE;Población  2012;Población  2011;Población  2010;Población  2009;Población  2008;Población  2007;Población  2006;Población  2005;Población varones;Población mujeres;Población españoles;Población extranjeros;Variación población 07-12 (Absoluta);Variación población españoles 07-12 (absoluta);Variación población extranjera 07-12 (absoluta);Variación población 07-12 (%);Ritmo de crecimiento medio anual de la población 07-12;Extensión (km2);Paro registrado en % s/población potencialmente activa 2012;% Paro de varones;% Paro de mujeres;% Paro de 16 a 24 años;% Paro de 25 a 49 años;% Paro de 50 a 64 años;Cuota de mercado  2012 ;Teléfonos  fijos 2012;Variación teléfonos fijos 07-12 (%);Líneas de banda ancha  2012;Vehículos de motor  2012;Automóviles  2012;Camiones y furgonetas  2012;Otros vehículos de motor 2012;Motocicletas;Autobuses;Tractores  industriales;Resto vehículos de motor;Variación total vehículos de motor 07-12 (%);Variación automóviles 07-12 (%);Variación camiones y furgonetas 07-12 (%);Variación otros vehículos de motor 07-12 (%);Oficinas de entidades de depósito  2013;Variación oficinas entidades de depósito 08-13 (Absoluta);Actividades industriales (industria y construcción);Actividades industriales: industria;Energía y agua;"Extracción y transf. min.energ y deriv.; ind.quím";"Industrias transf. de metales; mec. precisión";Industrias manufactureras;Actividades industriales: construcción;Variación actividades industriales 07-12 (%);Actividades comerciales mayoristas;"Materias primas agrarias; alim., bebidas y tabaco";Textiles, confección, calzado y artículos de cuero;"Productos farmac; perfum. y mant. hogar";Comercio al por mayor de art. consumo duradero;Comercio al por mayor interindustrial;Otro comercio al por mayor interindustrial;Otro comercio al por mayor no especificado;Variación actividades comerciales mayoristas 07-12 (%);Actividades comerciales minoristas  2012;Act. com. alimentación;Act. com. tradicional;Act. com. supermercados;Act. com. total no alimentación;Act. com vestido y calzado;Act. com. hogar;Act. com. resto no alimentación;Act. com. c. mixto y otros;Act. com. grandes almacenes;Act. com. hipermercados;Act. com. almacenes populares;Act. com. ambulante y mercadillos;Act. com otro comercio;Variación actividades comerciales minoristas 07-12 (%);Superficie-m2 actividades comerciales minoristas;Superficie-m2 alimentación;Superficie-m2 com. tradicional alim.;Superficie-m2 supermercados;Superficie-m2 total no alimentación;Superficie-m2 vestido y calzado;Superficie-m2 hogar;Superficie-m2 resto no alimentación;Superficie-m2 c. mixto y otros;Superficie-m2 grandes almacenes;Superficie-m2 hipermercados;Superficie-m2 almacenes populares;Superficie-m2 otro comercio;Centros comerciales;Superficie-m2 Centros comerciales  2012;Actividades de restauración y bares;Variación actividades de restauración y bares 07-12 (%);Índice industrial;Índice comercial;Índice comercial mayorista;Índice comercial minorista;Índice de restauración y bares;Índice turístico;Índice turístico 2006;Índice actividad económica;Índice actividad económica 2006
Ojén;29076;3.451;3.244;2.949;2.805;2.668;2.528;2.491;2.446;1.775;1.676;2.501;950;923;418;505;36,5;6,4;86;14,9;16,8;14,8;11,2;16,5;13,2;7;1.219;-11,4;749;2.404;1.411;472;507;213;0;2;306;19,6;26,1;-0,8;25,5;2;0;43;13;2;5;4;2;30;-3,9;4;1;0;1;0;0;2;0;0,0;25;8;8;0;14;1;5;8;3;0;0;0;0;3;-42,2;1.780;421;421;0;1.170;77;239;854;189;0;0;0;189;0;n.d.;12;-60,0;1;1;2;1;1;1;2;1;2
Olèrdola;08145;3.621;3.584;3.533;3.462;3.375;3.280;3.084;2.864;1.877;1.744;3.382;239;341;319;22;10,4;2,0;30;10,5;9,8;11,3;7,1;9,8;13,8;7;1.545;-5,7;685;3.757;2.059;960;759;346;0;36;356;-15,4;15,2;-51,0;6,8;2;1;180;131;2;28;34;67;49;1,8;63;26;4;6;3;3;18;3;-2,9;65;12;11;1;44;1;13;30;9;0;1;1;0;7;12,1;20.384;576;494;82;14.167;330;8.275;5.562;5.641;0;5.000;100;541;0;n.d.;8;-57,9;33;18;27;12;1;3;3;18;22
Olesa de Bonesvalls;08146;1.755;1.762;1.702;1.740;1.662;1.556;1.506;1.383;911;844;1.656;99;199;208;-9;12,8;2,4;31;10,1;10,1;9,5;5,3;10,5;10,9;3;603;-11,4;380;1.518;919;273;321;184;0;25;117;15,8;14,9;9,6;24,4;0;-1;39;12;1;2;2;7;27;-6,0;2;2;0;0;0;0;0;0;-33,3;6;3;3;0;1;0;1;0;2;0;0;0;0;2;-42,9;823;89;89;0;586;0;586;0;148;0;0;0;148;0;n.d.;3;-62,5;4;0;1;0;1;0;0;2;2
Olesa de Montserrat;08147;23.980;23.924;23.646;23.301;22.914;22.257;21.714;21.114;12.069;11.911;21.372;2.608;1.723;989;734;7,7;1,5;17;13,8;12,3;15,4;8,3;14,0;16,9;47;8.241;0,6;4.517;14.433;10.409;1.961;2.062;1.273;40;38;712;7,7;8,5;-0,3;12,2;16;-6;327;93;5;15;23;50;234;-12,9;37;12;7;1;7;1;6;3;5,6;304;126;119;7;158;41;31;86;20;0;0;2;5;13;-45,9;31.476;8.686;5.815;2.871;20.164;2.673;10.198;7.293;2.626;0;0;801;1.825;0;n.d.;71;-23,0;62;22;23;22;27;4;0;41;44
Oliva;46181;28.207;28.400;28.307;28.419;28.279;27.374;26.844;25.318;14.204;14.003;20.962;7.245;833;139;694;3,0;0,6;60;15,1;15,7;14,1;10,3;17,3;13,1;60;12.887;6,5;7.754;20.808;12.525;2.843;5.375;1.830;38;784;2.788;3,8;2,6;-1,0;9,7;18;-8;361;103;6;19;24;54;258;-22,2;75;36;2;5;7;2;22;1;-13,3;472;156;138;18;268;47;75;146;48;0;0;1;34;13;-33,0;46.892;17.510;4.561;12.949;27.475;3.392;7.411;16.672;1.907;0;0;727;1.180;0;n.d.;189;-10,5;32;42;46;39;55;63;138;29;36
Oliva (La);35014;24.079;22.953;22.351;21.996;21.354;20.084;18.884;17.273;12.860;11.219;12.844;11.235;3.995;302;3.693;19,9;3,7;356;13,7;13,5;15,4;7,3;14,2;16,2;51;8.997;29,8;6.235;14.553;8.396;4.203;1.899;916;6;32;1.000;20,1;18,2;18,8;32,2;14;-7;204;50;7;12;5;26;154;-29,9;15;4;2;4;2;0;2;1;-11,8;419;99;65;34;242;67;84;91;78;0;0;1;22;55;-22,6;40.743;18.414;1.584;16.830;16.094;4.340;6.091;5.663;6.235;0;0;74;6.161;2;17.853;283;-11,5;8;30;7;48;41;464;391;25;23
Olivella;08148;3.678;3.589;3.405;3.340;3.123;2.842;2.515;2.179;1.941;1.737;2.881;797;836;573;263;29,4;5,3;39;11,8;9,8;14,7;10,9;11,7;12,5;6;951;-18,8;659;2.749;1.683;419;626;380;0;7;260;31,0;34,5;13,9;35,1;0;-1;26;4;2;0;1;1;22;-12,2;2;1;0;0;1;0;0;0;100,0;6;2;1;1;3;0;0;3;1;0;0;0;1;0;-45,5;313;53;2;51;259;0;0;259;1;0;0;0;1;0;n.d.;4;-73,3;1;0;1;0;0;0;0;1;2
Olocau;46182;1.647;1.517;1.482;1.479;1.415;1.338;1.265;1.195;863;784;1.457;190;309;295;14;23,1;4,2;37;14,1;13,1;17,4;8,2;17,8;8,8;3;572;-22,6;277;1.046;683;185;173;100;0;2;76;21,3;24,0;-1,1;43,5;1;0;22;6;4;1;1;0;16;-3,8;2;0;0;0;0;1;1;0;0,0;6;4;3;1;1;0;0;1;1;0;0;0;0;1;-27,2;246;115;72;43;71;0;0;71;60;0;0;0;60;0;n.d.;2;-60,0;2;1;1;0;0;0;0;1;1
Olost;08149;1.188;1.191;1.202;1.217;1.199;1.193;1.187;1.193;588;600;1.163;25;-5;-5;0;-0,4;-0,1;29;12,1;10,3;14,3;4,8;11,1;16,8;3;522;5,1;204;1.137;713;244;178;107;0;8;65;9,1;7,4;6,6;20,8;3;-1;33;25;3;1;5;16;8;-4,8;1;0;0;0;0;0;1;0;0,0;13;4;4;0;6;1;1;4;3;0;0;0;0;3;-16,1;746;117;117;0;524;20;107;397;105;0;0;0;105;0;n.d.;5;-50,0;3;0;0;1;1;1;4;3;2
Olot;17114;33.813;33.725;33.589;33.524;32.903;32.337;31.932;31.271;16.868;16.945;27.109;6.704;1.476;406;1.070;4,6;0,9;29;10,4;10,4;10,4;5,8;10,7;12,6;77;14.892;8,3;7.346;26.063;16.335;4.494;5.254;2.556;25;81;2.572;6,8;6,9;5,0;8,0;30;-13;673;309;4;19;87;199;364;-13,4;109;38;9;7;21;4;26;4;-16,3;672;241;233;8;401;83;91;227;30;0;2;2;10;16;-23,8;55.395;6.365;5.395;970;41.058;4.428;15.635;20.995;7.972;0;5.000;1.048;1.924;0;n.d.;172;-14,8;83;59;57;60;52;20;32;62;73
Olula del Río;04069;6.500;6.580;6.733;6.699;6.704;6.446;6.405;6.358;3.355;3.145;5.796;704;54;-140;194;0,8;0,2;24;21,3;21,5;20,4;10,5;23,5;23,4;14;1.577;-13,4;945;5.539;3.348;1.110;1.086;394;1;100;586;4,9;7,1;0,9;2,8;5;-3;111;64;1;40;10;13;47;-27,1;18;3;0;1;0;4;9;1;-21,7;121;28;25;3;85;14;26;45;8;1;0;0;3;4;-38,5;17.170;3.640;130;3.510;9.144;994;3.921;4.229;4.386;3.655;0;0;731;0;n.d.;40;-29,5;15;12;10;14;9;2;2;11;17
Olvera;11024;8.494;8.549;8.570;8.589;8.629;8.643;8.612;8.585;4.199;4.295;8.287;207;-149;-204;55;-1,7;-0,3;194;12,6;13,9;11,1;12,2;14,2;9,6;18;1.708;-29,4;647;5.977;3.405;1.284;1.288;420;9;16;843;11,0;10,4;5,3;19,0;8;-1;91;42;1;9;5;27;49;-9,0;24;19;4;0;0;0;1;0;0,0;150;72;59;13;74;13;24;37;4;0;0;0;1;3;-31,2;14.455;7.305;1.474;5.831;6.957;3.452;1.669;1.836;193;0;0;0;193;0;n.d.;48;-28,2;5;11;10;12;8;0;1;6;9
Olleria (l');46183;8.630;8.709;8.660;8.692;8.514;8.106;7.984;7.887;4.352;4.278;7.174;1.456;524;129;395;6,5;1,3;32;17,9;18,7;16,5;12,6;19,3;17,9;18;2.092;-16,0;1.107;6.101;3.873;875;1.356;480;0;47;826;6,0;8,3;-4,4;6,8;9;0;178;107;3;18;16;70;71;-9,1;60;9;5;25;4;0;13;4;-17,1;132;50;45;5;71;11;23;37;11;0;0;0;0;11;-27,6;20.758;11.206;2.994;8.212;9.083;516;2.608;5.959;469;0;0;0;469;0;n.d.;28;-31,8;18;18;28;11;7;1;1;12;14
Onda;12084;25.571;25.704;25.778;25.691;25.362;24.140;22.526;22.281;12.987;12.584;21.108;4.463;1.431;430;1.001;5,9;1,2;108;18,7;17,5;19,5;13,6;21,3;15,3;54;9.951;5,7;5.770;17.641;11.776;2.979;2.953;1.156;31;187;1.512;6,7;9,3;0,7;3,3;21;-4;421;265;29;149;31;56;156;-16,3;193;5;3;1;8;23;150;3;22,4;417;157;149;8;233;39;74;120;27;0;0;2;1;24;-29,1;48.634;14.216;4.400;9.816;31.361;2.308;13.740;15.313;3.057;0;0;1.970;1.087;0;n.d.;136;-14,5;412;80;136;37;47;5;2;169;184
Ondara;03095;6.657;6.644;6.570;6.546;6.457;6.217;6.004;5.834;3.347;3.310;5.427;1.230;440;151;289;7,1;1,4;10;18,8;20,4;17,2;10,0;20,7;19,6;16;2.088;-8,0;1.152;5.271;3.259;989;1.049;382;0;4;637;5,0;7,0;-1,3;5,5;9;-1;144;50;3;7;18;22;94;-36,0;44;23;1;3;3;1;10;3;-4,1;175;43;36;7;127;30;37;60;5;0;1;0;1;3;-5,7;42.765;8.057;1.170;6.887;27.561;8.503;6.156;12.902;7.147;0;6.983;0;164;1;40.166;43;-21,1;5;24;22;26;11;1;1;10;10
Onil;03096;7.697;7.753;7.723;7.771;7.709;7.622;7.466;7.500;3.869;3.828;7.011;686;75;-81;156;1,0;0,2;48;16,8;14,4;19,0;9,0;18,2;18,4;16;2.220;-12,9;1.247;6.193;4.027;948;1.205;574;6;42;596;9,0;10,4;1,2;11,1;6;0;202;154;4;2;24;124;48;-24,6;25;4;2;2;1;3;1;12;13,0;111;27;22;5;72;10;23;39;12;0;0;0;5;7;-30,7;15.619;3.600;226;3.374;10.177;993;3.336;5.848;1.842;0;0;0;1.842;0;n.d.;23;-32,4;25;12;14;11;7;1;1;13;16
Ontinyent;46184;37.140;37.606;37.935;37.735;37.518;36.695;36.368;35.517;18.530;18.610;32.427;4.713;445;102;343;1,2;0,2;125;18,4;16,2;20,2;10,6;20,1;19,5;79;16.123;5,2;9.168;27.371;17.721;3.785;5.936;2.313;21;258;3.273;0,5;2,0;-5,4;0,3;30;-5;610;378;30;11;49;288;232;-16,3;162;27;69;8;14;5;37;2;-14,6;649;200;177;23;420;95;102;223;29;0;0;2;8;19;-25,1;88.156;32.622;7.332;25.290;50.180;8.759;15.031;26.390;5.354;0;0;2.500;2.854;1;15.544;147;-14,1;63;86;114;64;50;3;7;60;67
Orba;03097;2.604;2.606;2.629;2.616;2.566;2.503;2.361;2.117;1.289;1.315;1.162;1.442;101;-23;124;4,0;0,8;18;9,1;9,2;8,6;2,7;13,9;6,6;6;975;-20,5;523;2.111;1.419;309;391;134;0;2;247;7,6;6,9;8,0;10,1;2;-1;63;11;1;3;2;5;52;-17,2;10;1;2;3;0;1;3;0;-9,1;35;9;9;0;15;1;4;10;11;0;0;0;0;11;-46,5;2.661;404;404;0;1.700;144;612;944;557;0;0;0;557;0;n.d.;5;-76,2;2;4;5;3;1;1;2;2;3
Orce;18146;1.301;1.321;1.321;1.333;1.357;1.383;1.387;1.397;672;629;1.203;98;-82;-113;31;-5,9;-1,2;325;8,7;8,2;9,1;6,9;10,5;6,1;3;351;-15,2;111;1.173;720;198;250;71;1;4;179;6,6;6,2;5,9;8,5;2;0;15;7;0;1;3;3;8;7,1;5;4;0;0;0;0;1;0;-37,5;21;10;10;0;8;1;1;6;3;0;0;0;0;3;-39,0;1.422;674;674;0;614;51;129;434;134;0;0;0;134;0;n.d.;5;-16,7;0;1;1;1;1;0;0;1;1
Órgiva;18147;5.772;5.756;5.789;5.659;5.640;5.508;5.460;5.370;2.866;2.906;4.424;1.348;264;-168;432;4,8;0,9;134;17,5;18,4;16,9;12,2;20,9;15,1;12;1.426;-15,4;691;4.438;2.543;1.009;870;350;12;19;505;14,4;13,9;11,2;19,7;5;0;77;47;24;7;4;12;30;11,0;12;8;2;0;0;0;2;0;9,1;80;21;17;4;55;15;16;24;4;0;0;0;2;2;-39,3;7.728;1.141;629;512;6.217;867;3.335;2.015;370;0;0;0;370;0;n.d.;30;-23,8;2;5;5;6;7;4;7;4;4
Oria;04070;2.858;2.892;2.888;2.898;2.920;2.777;2.619;2.488;1.489;1.369;1.870;988;81;-172;253;2,9;0,6;235;7,2;8,2;5,6;8,7;9,4;3,7;6;396;-40,8;2;2.295;1.375;501;417;162;7;13;237;14,1;12,6;10,4;24,3;2;0;34;15;2;1;3;9;19;9,1;6;2;2;0;0;0;1;1;-25,0;21;6;4;2;10;1;5;4;5;0;0;0;0;5;-30,7;1.645;497;94;403;811;67;577;167;337;0;0;0;337;0;n.d.;8;-50,0;1;2;3;2;2;0;1;1;2
Orihuela;03099;90.087;88.714;87.113;86.164;84.626;80.468;77.979;75.009;45.289;44.798;51.804;38.283;9.619;1.094;8.525;12,0;2,3;365;13,8;14,2;13,5;8,0;17,1;11,1;190;39.335;3,0;22.758;62.035;44.416;8.878;8.823;3.229;156;388;4.968;9,3;11,8;-1,3;8,8;76;-28;1.116;345;17;31;72;225;771;-12,0;287;202;6;13;16;6;35;9;-6,4;1.155;340;295;45;720;138;171;411;95;0;2;8;27;58;-22,0;183.512;65.025;8.793;56.232;100.017;9.531;25.336;65.150;18.470;0;14.659;1.055;2.756;2;34.711;570;-1,0;108;169;180;160;219;96;117;118;153
Oropesa del Mar/Orpesa;12085;9.898;10.088;10.787;11.188;11.245;9.613;8.527;7.208;5.254;4.644;5.833;4.065;285;328;-43;3,0;0,6;26;14,8;15,8;12,7;6,8;16,7;14,3;19;3.972;-11,9;1.649;5.358;3.684;874;804;359;0;5;436;12,4;12,2;15,6;9,9;6;-1;121;24;4;0;6;14;97;-20,8;14;1;1;3;4;0;4;1;-21,1;161;60;51;9;85;10;27;48;16;0;0;0;0;16;-47,6;15.202;6.055;700;5.355;7.968;160;4.374;3.434;1.179;0;0;0;1.179;0;n.d.;107;-12,9;5;9;6;12;25;119;62;10;14
Orotava (La);38026;41.726;41.706;41.427;41.171;40.945;40.644;40.644;40.355;20.564;21.162;39.560;2.166;1.082;827;255;2,7;0,5;207;20,9;22,7;19,2;10,6;24,3;19,9;89;17.978;27,8;11.848;29.425;18.498;6.644;4.232;2.177;104;42;1.960;9,1;9,6;4,4;14,8;20;-3;534;162;7;6;26;123;372;24,9;107;40;9;12;24;0;15;7;-11,2;672;104;84;20;520;123;158;239;48;0;2;1;6;39;-18,1;123.602;6.219;2.940;3.279;88.068;28.974;34.281;24.813;29.315;0;15.127;1.499;12.689;1;48.284;206;-11,3;31;90;60;114;53;7;9;46;53
Otívar;18148;1.203;1.193;1.136;1.150;1.145;1.136;1.113;1.109;616;587;999;204;67;5;62;5,9;1,2;57;13,2;14,9;12,0;8,9;14,8;12,6;3;264;-19,0;91;1.061;491;330;229;114;0;7;119;17,1;18,6;2,8;40,4;2;0;10;4;1;0;0;3;6;-8,3;5;4;1;0;0;0;0;0;0,0;9;2;2;0;6;1;3;2;1;0;0;0;1;0;-54,7;588;256;256;0;331;15;66;250;1;0;0;0;1;0;n.d.;2;-66,7;1;1;2;1;0;0;0;0;1
Otura;18149;6.910;6.747;6.598;6.423;6.135;5.883;5.632;5.439;3.504;3.406;6.652;258;1.027;970;57;17,5;3,3;24;13,5;12,7;14,9;9,0;14,7;13,8;13;1.921;-23,8;1.323;5.032;3.327;617;1.059;579;1;37;471;18,5;20,6;2,8;22,7;5;0;49;15;1;3;6;5;34;-20,6;16;4;0;2;3;3;4;0;0,0;52;13;10;3;31;2;9;20;8;0;0;0;2;6;-30,9;18.608;7.555;181;7.374;10.110;118;1.025;8.967;943;0;0;0;943;0;n.d.;20;-8,7;1;6;6;5;4;1;2;3;5
Padul;18150;8.480;8.416;8.270;8.440;8.224;7.961;7.871;7.373;4.286;4.194;8.033;447;519;353;166;6,5;1,3;89;20,0;22,4;17,8;14,3;23,2;16,9;17;1.337;-43,7;675;6.881;3.972;1.406;1.499;567;1;66;869;14,6;16,2;5,6;19,7;4;-2;109;68;1;31;12;24;41;-24,7;17;6;0;0;1;0;10;0;-15,0;103;20;14;6;72;10;16;46;11;0;0;0;3;8;-39,3;17.498;1.190;590;600;16.039;483;8.004;7.552;269;0;0;0;269;0;n.d.;26;-28,2;6;8;8;7;5;0;0;6;7
Paiporta;46186;24.506;24.298;23.980;23.519;23.245;22.374;21.846;21.341;12.289;12.217;22.828;1.678;2.132;1.840;292;9,5;1,8;4;18,1;16,4;20,0;12,4;18,6;19,9;48;9.642;22,0;6.625;14.781;10.483;2.061;2.186;1.298;25;68;846;9,8;9,8;2,0;18,5;17;-2;297;161;6;8;28;119;136;-15,1;89;33;4;8;20;2;16;6;-17,1;274;95;89;6;168;26;51;91;11;0;0;0;1;10;-36,7;24.843;9.615;2.012;7.603;14.439;1.671;6.262;6.506;789;0;0;0;789;0;n.d.;62;-32,3;20;35;53;22;23;0;0;20;26
Pájara;35015;20.500;20.565;20.622;20.821;20.283;19.424;18.494;18.173;10.920;9.580;11.356;9.144;1.076;-938;2.014;5,5;1,1;384;12,0;11,8;11,9;8,8;12,0;13,9;45;8.855;38,1;5.518;12.657;7.671;3.407;1.536;637;19;23;900;13,9;13,1;9,4;30,1;15;-5;201;28;10;3;2;13;173;-25,6;29;10;4;3;3;0;4;5;11,5;421;104;89;15;233;80;57;96;84;0;0;0;7;77;-22,7;30.872;3.911;1.319;2.592;18.842;3.163;3.489;12.190;8.119;0;0;0;8.119;0;n.d.;230;-19,5;8;32;14;46;43;1.370;1.277;48;36
Palafolls;08155;9.027;8.966;8.773;8.584;8.368;8.061;7.583;7.098;4.516;4.511;8.532;495;966;929;37;12,0;2,3;16;12,4;11,6;13,3;6,8;12,3;16,3;18;2.549;-16,9;1.674;7.294;4.347;1.260;1.673;983;3;12;689;16,5;17,8;4,3;23,7;6;-1;163;56;3;12;15;26;107;-10,5;34;14;3;3;4;3;7;0;-5,3;67;16;12;4;41;7;14;20;10;0;0;0;1;9;-40,2;8.915;598;208;390;7.696;16;2.922;4.758;621;0;0;0;621;0;n.d.;32;-17,5;43;11;17;6;7;3;3;19;22
Palafrugell;17117;22.880;22.816;22.622;22.365;22.109;21.412;21.307;20.509;11.476;11.404;17.033;5.847;1.468;334;1.134;6,9;1,3;27;12,6;14,3;10,8;5,4;13,6;14,8;51;10.345;2,5;4.904;19.216;11.390;3.154;4.657;2.691;13;28;1.940;4,9;4,9;3,1;6,3;16;-5;455;99;1;4;25;69;356;-22,7;48;14;2;6;10;2;12;2;-11,9;487;164;149;15;301;58;72;171;22;0;0;2;8;12;-30,7;50.041;18.935;5.244;13.691;29.413;2.511;9.403;17.499;1.693;0;0;646;1.047;0;n.d.;158;-15,7;22;35;28;40;46;58;65;29;39
Palamós;17118;17.813;17.918;18.057;18.161;17.766;17.400;17.197;16.817;8.755;9.058;15.003;2.810;413;104;309;2,4;0,5;14;11,3;11,6;10,6;6,2;12,0;12,3;41;8.241;4,7;4.047;15.787;9.449;2.383;3.940;2.023;13;40;1.879;6,7;6,7;4,6;8,1;15;-10;284;70;3;4;28;35;214;-19,3;58;30;0;2;12;0;12;2;7,0;386;106;93;13;259;61;74;124;21;0;0;0;8;13;-32,5;34.608;8.846;2.070;6.776;24.295;3.370;10.185;10.740;1.467;0;0;0;1.467;0;n.d.;150;-17,2;16;32;30;34;36;40;69;22;30
Palau-saverdera;17120;1.481;1.488;1.475;1.451;1.423;1.300;1.197;1.178;738;743;1.014;467;181;125;56;13,9;2,6;17;7,9;8,6;7,0;1,9;9,0;8,1;3;536;-11,7;224;1.227;706;260;260;149;5;0;107;12,4;12,6;7,4;17,0;1;0;46;17;1;0;8;8;29;0,0;3;3;0;0;0;0;0;0;0,0;16;11;9;2;4;1;1;2;1;0;0;0;0;1;-23,6;1.131;922;182;740;189;12;92;85;20;0;0;0;20;0;n.d.;7;-30,0;1;1;1;1;1;0;1;1;1
Palau-solità i Plegamans;08156;14.484;14.352;14.190;14.070;13.916;13.594;13.310;12.836;7.208;7.276;13.599;885;890;802;88;6,5;1,3;15;11,0;9,6;12,6;6,6;11,5;12,4;31;5.777;-0,6;3.434;12.986;8.108;2.212;2.649;1.617;0;132;917;7,3;6,5;-3,2;20,8;10;-2;341;211;1;25;96;89;130;-12,2;73;11;7;8;13;7;15;12;-23,8;167;53;50;3;105;10;28;67;9;0;0;0;3;6;-42,3;19.475;7.657;1.229;6.428;11.385;569;3.310;7.506;433;0;0;0;433;0;n.d.;58;-24,1;90;30;51;13;19;0;1;50;57
Palma;07040;407.648;405.318;404.681;401.270;396.570;383.107;375.048;375.773;199.491;208.157;325.404;82.244;24.541;6.863;17.678;6,4;1,2;209;12,3;12,8;11,8;8,6;12,6;13,9;892;192.213;18,3;112.129;324.342;228.443;35.410;60.493;33.674;1.156;771;24.888;2,9;1,6;1,1;9,4;401;-84;5.959;1.718;93;65;650;910;4.241;-3,4;1.528;475;106;141;347;46;240;173;-5,7;6.685;1.842;1.591;251;4.438;1.300;981;2.157;405;5;4;8;185;203;-19,7;1.276.409;202.006;49.551;152.455;936.175;116.442;579.012;240.721;138.228;85.515;12.473;3.846;36.394;5;123.902;3.008;-11,5;554;1.062;975;1.129;1.398;2.883;2.918;938;1.070
Palma de Cervelló (La);08905;3.023;3.019;3.035;3.057;3.027;3.009;2.988;2.923;1.525;1.498;2.808;215;14;21;-7;0,5;0,1;5;10,0;8,5;11,6;5,3;10,7;11,5;5;1.258;-9,4;869;1.547;1.023;231;270;214;0;6;73;65,8;61,1;50,0;103,5;1;-1;57;24;0;2;4;18;33;23,6;11;3;1;0;1;0;6;0;120,0;28;10;7;3;17;1;3;13;1;0;0;0;0;1;64,7;3.266;995;412;583;2.246;24;227;1.995;25;0;0;0;25;0;n.d.;6;0,0;4;4;5;3;1;0;0;3;4
Palma de Gandía;46187;1.819;1.854;1.843;1.887;1.845;1.850;1.683;1.675;939;880;1.515;304;-31;-44;13;-1,7;-0,3;14;12,4;12,0;12,1;16,9;13,6;7,9;4;645;-21,0;297;1.545;904;252;383;138;0;21;230;7,0;5,9;2,0;13,4;1;-1;23;11;1;3;0;7;12;-2,9;11;8;0;0;2;0;1;0;10,0;10;5;5;0;5;1;0;4;0;0;0;0;0;0;-28,6;710;126;126;0;584;14;0;570;0;0;0;0;0;0;n.d.;5;-61,5;1;2;4;0;1;0;0;1;1
Palma del Condado (La);21054;10.606;10.547;10.475;10.404;10.340;10.192;10.074;9.925;5.301;5.305;10.205;401;414;295;119;4,1;0,8;60;16,4;15,9;17,2;11,5;17,8;16,6;20;2.833;20,5;1.891;6.688;4.148;969;1.603;387;3;40;1.141;6,5;10,5;1,7;-0,2;8;0;83;48;1;11;7;29;35;-24,2;51;36;0;5;1;3;4;2;-11,7;161;37;32;5;108;22;35;51;16;0;1;2;1;12;-32,2;21.571;6.489;350;6.139;10.792;1.148;3.973;5.671;4.290;0;3.000;699;591;0;n.d.;40;-16,0;15;26;33;20;10;1;1;15;16
Palmas de Gran Canaria (Las);35016;382.296;383.343;383.308;381.847;381.123;377.203;377.056;378.628;186.030;196.266;351.963;30.333;5.093;1.504;3.589;1,4;0,3;101;20,5;19,6;21,0;9,3;22,4;22,7;824;198.044;21,7;128.726;252.978;166.917;47.997;38.180;20.691;1.202;813;15.358;7,1;7,2;1,2;14,8;233;-32;3.139;1.119;47;39;386;647;2.020;-4,8;2.545;1.099;130;199;480;61;291;285;-11,7;6.826;2.329;2.057;272;3.587;866;762;1.959;910;3;6;3;260;638;-20,3;810.685;173.070;25.663;147.407;438.729;107.584;114.407;216.738;198.886;100.000;50.564;1.780;46.542;11;273.419;1.592;-12,7;350;1.336;1.466;1.235;775;567;774;769;741
Palmera;46188;1.022;989;965;947;926;813;710;656;534;488;826;196;209;100;109;25,7;4,7;1;12,4;11,9;13,4;14,1;12,6;10,6;2;359;39,0;232;792;464;151;174;88;0;12;77;18,0;18,1;7,9;28,3;0;0;19;12;1;2;2;7;7;-10,5;8;4;0;1;0;0;3;0;60,0;13;4;4;0;7;0;3;4;2;0;0;0;1;1;0,0;806;64;64;0;668;0;562;106;74;0;0;0;74;0;n.d.;2;-50,0;1;3;6;1;0;0;0;1;1
Palos de la Frontera;21055;9.809;9.377;9.167;9.043;8.964;8.529;8.415;8.181;4.888;4.921;8.200;1.609;1.280;664;616;15,0;2,8;49;19,5;17,3;23,7;10,7;22,8;16,9;20;2.141;-17,9;1.018;7.793;4.905;1.516;1.314;466;24;55;827;17,8;21,4;6,9;18,3;9;0;174;86;13;32;18;23;88;2,2;44;31;0;0;1;4;6;2;4,7;141;37;31;6;89;8;25;56;15;0;0;0;0;15;-32,6;19.204;1.676;321;1.355;16.668;500;3.459;12.709;860;0;0;0;860;0;n.d.;48;-19,4;452;16;19;13;11;5;7;180;116
Pals;17124;2.793;2.725;2.745;2.799;2.698;2.540;2.400;2.335;1.414;1.379;2.003;790;253;90;163;10,0;1,9;26;4,4;4,9;4,1;1,5;4,4;5,6;7;1.756;-5,4;747;2.920;1.675;623;619;300;0;21;301;12,6;13,6;8,7;13,9;3;-1;87;13;1;2;4;6;74;-10,0;4;2;0;0;1;0;1;0;-28,6;48;24;20;4;17;2;4;11;7;0;0;0;2;5;-56,8;6.048;3.535;1.050;2.485;1.636;137;99;1.400;877;0;0;0;877;0;n.d.;26;-41,3;3;3;2;4;4;61;74;4;6
